id,article_id,action
1,5,delivered
2,1,open
3,1,delivered
4,4,click
5,1,delivered
6,5,delivered
7,3,delivered
8,4,delivered
9,5,delivered
10,4,delivered
11,2,open
12,3,delivered
13,4,delivered
14,3,delivered
15,3,click
16,4,delivered
17,4,open
18,3,open
19,1,open
20,2,delivered
21,1,open
22,2,delivered
23,4,delivered
24,1,delivered
25,5,delivered
26,2,delivered
27,2,delivered
28,4,open
29,3,open
30,3,delivered
31,5,open
32,3,delivered
33,4,open
34,5,open
35,1,open
36,3,open
37,3,delivered
38,4,delivered
39,5,open
40,1,click
41,3,delivered
42,2,delivered
43,1,click
44,5,open
45,1,delivered
46,4,delivered
47,2,click
48,3,delivered
49,5,delivered
50,5,delivered
51,1,delivered
52,1,delivered
53,1,click
54,3,delivered
55,4,open
56,3,open
57,1,open
58,1,delivered
59,1,open
60,3,delivered
61,2,delivered
62,1,delivered
63,2,delivered
64,5,click
65,4,delivered
66,3,open
67,3,open
68,4,delivered
69,1,open
70,5,delivered
71,2,delivered
72,1,delivered
73,2,open
74,3,delivered
75,1,click
76,1,delivered
77,4,open
78,1,delivered
79,1,delivered
80,2,delivered
81,3,delivered
82,1,click
83,5,open
84,3,open
85,2,delivered
86,1,click
87,2,delivered
88,2,delivered
89,1,delivered
90,3,delivered
91,3,delivered
92,4,click
93,4,delivered
94,4,delivered
95,4,delivered
96,1,click
97,4,delivered
98,5,delivered
99,5,open
100,1,delivered
101,4,delivered
102,4,open
103,3,delivered
104,4,open
105,3,delivered
106,3,delivered
107,5,open
108,1,delivered
109,2,delivered
110,1,open
111,1,delivered
112,2,delivered
113,1,delivered
114,3,delivered
115,2,delivered
116,4,delivered
117,4,delivered
118,1,delivered
119,4,open
120,2,delivered
121,1,delivered
122,4,open
123,1,delivered
124,1,click
125,3,delivered
126,3,open
127,1,click
128,1,delivered
129,3,delivered
130,3,delivered
131,3,open
132,2,delivered
133,2,delivered
134,2,open
135,1,open
136,2,delivered
137,5,delivered
138,1,delivered
139,3,click
140,1,delivered
141,1,delivered
142,2,open
143,3,open
144,1,delivered
145,3,delivered
146,2,delivered
147,4,delivered
148,3,open
149,1,open
150,2,delivered
151,4,open
152,1,delivered
153,2,open
154,4,delivered
155,2,open
156,2,delivered
157,3,delivered
158,4,open
159,4,open
160,4,click
161,2,open
162,4,delivered
163,3,open
164,5,delivered
165,4,click
166,3,click
167,4,click
168,3,click
169,5,open
170,5,delivered
171,1,delivered
172,3,delivered
173,2,delivered
174,1,delivered
175,2,delivered
176,5,delivered
177,1,open
178,5,delivered
179,1,click
180,3,delivered
181,1,delivered
182,1,click
183,1,click
184,2,delivered
185,3,delivered
186,2,open
187,5,click
188,2,open
189,2,delivered
190,5,delivered
191,1,delivered
192,1,open
193,4,open
194,1,open
195,2,delivered
196,2,delivered
197,1,open
198,2,open
199,5,open
200,4,delivered
201,4,click
202,3,open
203,5,open
204,3,delivered
205,1,delivered
206,4,click
207,1,click
208,4,delivered
209,4,open
210,1,open
211,5,delivered
212,3,click
213,5,delivered
214,5,delivered
215,1,click
216,5,delivered
217,2,open
218,1,delivered
219,2,open
220,2,open
221,1,delivered
222,2,open
223,2,open
